"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"18",19,26,2.56281970946252,1.96632591468438,0.237099899819404,0.355934122854541,1.13148592515046,2.09706114153535,3.46433232128396,6.40495091496209,7.64189563515662
"19",20,27,2.60873657836946,2.00513683757136,0.239269204664672,0.364656147838814,1.13461986512733,2.14637938944189,3.5192100168625,6.36283936868526,7.57024744986165
"20",21,28,2.62907174600885,2.04523566622668,0.232548142002832,0.339442994604649,1.16336042340088,2.0831489489606,3.60291693342144,6.44874075247207,7.80317846208207
"21",22,29,2.62472280259973,2.00985180749084,0.229211115343607,0.369272279041849,1.16086709382268,2.13885879733612,3.53787390915275,6.43806644733857,7.65018283055322
"22",23,30,2.75735842544038,2.16082407340749,0.229102498882983,0.362769877535284,1.21701285440926,2.21929107388053,3.75888799935198,6.90893183084768,8.34207055803679
"23",24,31,2.51161013918295,2.00066752348437,0.21311571002396,0.351934985471508,1.0189786143944,2.01511747007546,3.44829258856968,6.42285237048269,7.86766106404017
"24",25,32,2.515579877365,1.95789421626449,0.212986243881705,0.352529325164147,1.10999290826853,2.01158988418844,3.42281700955413,6.46122781649454,7.43214850927379
"25",26,33,2.59514823660382,2.02051094482755,0.214892361474922,0.37756952917283,1.1539298328796,2.09630877532703,3.51264390596104,6.49103909521718,7.80422551063922
"26",27,34,2.56424833363657,2.00967535554132,0.223117060988641,0.393868081448733,1.0852422555266,2.0399394970653,3.48219265158595,6.52461458691364,7.81544293173388
"27",28,35,2.59000521936782,1.96978228292889,0.245184082069324,0.358014435792052,1.16910260421914,2.0897690856342,3.48709099786107,6.40996447567366,7.5305723764178
"28",29,36,2.58087550714615,1.9363838985339,0.248296182423212,0.386961450165641,1.19715668804199,2.08991048041023,3.49292510519905,6.3319507437331,7.43248499707002
"29",30,37,2.55628316532509,1.91672511065049,0.23610256534237,0.374460217544533,1.1780008602652,2.10474395309626,3.45151580799816,6.33214240628017,7.4934039717037
"30",31,38,2.60787212564922,2.00485375271278,0.260324265009645,0.383684815321653,1.15413324557135,2.06255526452191,3.52246880877814,6.49743203180574,7.71466938549365
"31",32,39,2.63002196269668,2.0296094463654,0.23956259455998,0.356073675169922,1.15175511489712,2.13573046830089,3.56699728712172,6.60926367336315,7.87577706823144
"32",33,40,2.5474347379615,1.92344422565536,0.243008763206581,0.363367465563767,1.10828581263482,2.09167116075604,3.45111097347393,6.34238626512767,7.39939826231945
"33",34,41,2.64736404543263,2.04271665728065,0.25331755396972,0.403982623903468,1.1753793046787,2.1178139499663,3.56290562545706,6.70163564835361,7.81226387558029
"34",35,42,2.60299742128589,1.96613529630505,0.239034397615632,0.362315830722569,1.16187404835125,2.12769946044114,3.51694188740937,6.46901139497523,7.8050969194748
"35",36,43,2.57550361808715,1.9704266113732,0.231034716624717,0.378706000788079,1.11800066258554,2.09133034859571,3.47439262626351,6.53564497522329,7.65843632197043
"36",37,44,2.61208708432497,2.01569220897816,0.231613524879783,0.379447078256211,1.15276270298023,2.13157558753676,3.56247156044562,6.61519056014789,7.70579506452069
"37",38,45,2.66584671211855,2.0666626576351,0.243453784420013,0.39350519112247,1.16624528525317,2.11828137498326,3.58088041376003,6.91345494152958,8.03282228413026
"38",39,46,2.60195479255981,2.01816617233864,0.233636730959813,0.357652063148132,1.14292242867215,2.08254538175043,3.45804403112128,6.71068540715529,7.89560260729783
"39",40,47,2.54069026701071,1.93708507057582,0.233651298967319,0.370739057668007,1.08027355649125,2.03446657399948,3.54711607502737,6.35295045460366,7.31038509812304
"40",41,48,2.57392900546288,1.94690249704339,0.235318900070606,0.353654821457561,1.14916017126218,2.11820524370035,3.56639729664657,6.26998192824165,7.659610366244
"41",42,49,2.57943499805234,1.98041014204346,0.228269051502759,0.37505793218609,1.11761330257915,2.13605013351811,3.53132250533617,6.28377980562543,7.43894549839663
"42",43,50,2.60126344145191,2.0278073531365,0.223543487913691,0.373496732137722,1.10498078479383,2.08995822256948,3.58221391164719,6.56750760506922,7.6914715369256
"43",44,51,2.54754871852302,2.04006080904865,0.228415872198952,0.333107431930013,1.07334447731906,2.03176075303108,3.42623453175722,6.6607003805306,7.95610154983403
"44",45,52,2.57018288932285,1.92719768658343,0.219474422718195,0.344279943103028,1.14644484655653,2.11136667293582,3.55036873718608,6.4136265563977,7.40221898146449
"45",46,53,2.61971233464993,2.00293870693217,0.230997625785288,0.365775697044681,1.16375926807161,2.12136800979347,3.49239612257382,6.4511116514636,7.8568776258722
"46",47,54,2.61181506189029,2.02710130328518,0.239726163118175,0.369070941237451,1.1398042000326,2.10143740590278,3.52525679297774,6.58462653602172,7.89449497994005
"47",48,55,2.51756263147672,1.97180022837113,0.219548610666141,0.377746121879802,1.08777148442911,2.01332427967992,3.42190954846859,6.42837480842888,7.56062533437773
"48",49,56,2.54162232139658,1.91764509501413,0.241960551275804,0.388644625930864,1.12045704621318,2.08135911076932,3.4479761022303,6.29519683561923,7.30052394188762
"49",50,57,2.59122216375214,2.0132647409719,0.229123722740947,0.353473213695467,1.11926607187499,2.06357110041784,3.52004099323008,6.49951802214864,7.7115735425049
"50",51,58,2.61837895490172,2.05116513864782,0.25272514350178,0.385429543980326,1.1803770900446,2.11514179075865,3.53494639003842,6.64201285357146,7.84700547671795
"51",52,59,2.60862461033496,2.02918418720389,0.252561189270646,0.374858981182291,1.13515148341038,2.08878270448657,3.5599297170125,6.55555470430849,7.58371108346129
"52",53,60,2.62003125797861,2.00283807487293,0.233393427369104,0.365710384245285,1.1476578758595,2.14948738254065,3.55064645563847,6.37543962366716,7.92517860148667
"53",54,61,2.55842009650416,1.95016336146495,0.272207757849793,0.386429738494936,1.12552163056326,2.14103658892729,3.41162501134571,6.32078214300371,7.72340418126081
"54",55,62,2.6475697408586,2.03029164514378,0.24497976285108,0.3768113061803,1.18295045575229,2.15916795890972,3.56394556882774,6.70410139923366,7.6696443648983
"55",56,63,2.63081700770702,1.98197029553389,0.228311402020096,0.351402034177141,1.14879199941739,2.18105918693558,3.60135189306443,6.5913825457515,7.86330103110192
"56",57,64,2.59195766699812,1.99746662833109,0.229700880778585,0.375930813837675,1.12310604748037,2.06577798354795,3.49708588919285,6.54819608552452,7.62579958343404
"57",58,65,2.60782978857601,2.0475626317304,0.228053414653719,0.371623870877151,1.1261308429267,2.05325986289873,3.61997197506249,6.67615127707009,7.84762545003194
"58",59,66,2.58629972261875,1.93500842326004,0.241574753888945,0.362882655566391,1.1713606936451,2.09962177244362,3.52926691039651,6.39676634174791,7.59036624088824
"59",60,67,2.58115397465491,1.94038622540585,0.244871593537619,0.38724250745325,1.12793684926088,2.10752639453827,3.54923682281469,6.29048313130004,7.47986038833378
"60",61,68,2.59749742607491,2.01078593959762,0.25667731082343,0.370678696963875,1.0924879708428,2.09837256718483,3.5620974225814,6.44702869458836,7.83967747144045
"61",62,69,2.62577161486939,2.04014220823814,0.243115556613219,0.393657854997458,1.11440265578159,2.12159229190929,3.61565656321919,6.55658419958665,8.09302088636286
"62",63,70,2.6530124534492,2.090445383644,0.240591871385769,0.355853747541069,1.08680660735523,2.10792778567411,3.64048539249843,6.98026878129268,8.17240124183011
"63",64,71,2.63697449199635,1.97957343960621,0.245169645274269,0.395918216687621,1.17285870637372,2.16556526579631,3.63317869313924,6.53448380627863,7.80373815751929
"64",65,72,2.61081336859462,1.97537883947013,0.212301123414674,0.340782903498549,1.13590221065904,2.10745452621803,3.55736160746716,6.62700059337134,7.46187016910656
"65",66,73,2.6358250967879,2.03979953473396,0.268573460567183,0.39287718081822,1.14422108897138,2.10059114619629,3.64427695445389,6.64082818095052,7.87303102089622
