"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"15",16,23,2.65102966015618,2.04187281797274,0.24484702513061,0.373057855053612,1.14086582381283,2.15662033132422,3.59955230245388,6.53321014095765,7.98972080196982
"16",17,24,2.58311298795495,2.02846907480562,0.217015445874007,0.35954506561744,1.11467032570825,2.06544389546515,3.58761930508274,6.58753738870693,7.81801772863954
"17",18,25,2.5500811253349,1.91198445533419,0.23041859911839,0.367509204944433,1.16080040148708,2.08798040022904,3.45352530397689,6.27542506251947,7.45557464656537
"18",19,26,2.63721383867491,2.06182395325781,0.254977810829622,0.371363781714235,1.09331412069548,2.0969438470208,3.63019990723576,6.68344842007003,7.65283565186138
"19",20,27,2.58949454362586,1.96426890938602,0.259944473593452,0.37508679995192,1.13767378725393,2.10598741648727,3.54903715096633,6.40148712319442,7.42958349215747
"20",21,28,2.58105608036868,2.00672548615921,0.243598682285018,0.362602067863335,1.12832995817126,2.09048906546687,3.49667062205712,6.48371999984373,7.66371799574097
"21",22,29,2.60295168289168,1.99580041901659,0.260560590165838,0.40909790443655,1.12850894978349,2.09023050027799,3.64359161783244,6.397266900668,7.6933751244845
"22",23,30,2.63392262040759,2.01609372483265,0.276079321191826,0.406326424609121,1.1518453213913,2.11912209118056,3.64918301167856,6.35103182599232,7.62279172119924
"23",24,31,2.6029309286066,2.07077739251309,0.210118844999645,0.33971930774953,1.10257180548286,2.03207161721563,3.53305796646041,6.9656775804192,7.8636614560028
"24",25,32,2.61637385584745,2.05189354929205,0.261596114578444,0.383481237465566,1.1235141629348,2.11473327978185,3.58677561593014,6.72446831948042,7.63145345666701
"25",26,33,2.63387531776696,1.98239469872173,0.281105698932452,0.415324767613328,1.1501695849358,2.13056989517286,3.58864661016623,6.49738810597653,7.75479058449236
"26",27,34,2.57354692460201,2.04456700980073,0.196342078193067,0.311504985160031,1.10696537721021,2.05879492663249,3.49724926622365,6.56811738168139,7.95037487048902
"27",28,35,2.62888581379866,1.98063705666784,0.219081040455651,0.363131313291228,1.1526990043,2.15585472188244,3.6023427013489,6.47308920866054,7.78174067640918
"28",29,36,2.60722506672694,1.95953935342186,0.248230706959081,0.371318176786581,1.1684735077333,2.15795147039606,3.56047826162146,6.5398374947149,7.73229192482815
"29",30,37,2.61711120014068,1.97531462562001,0.222028044310334,0.343729711258253,1.15445360800548,2.12637114032409,3.62399244606422,6.38180279361628,7.63046556119948
"30",31,38,2.61503148457497,1.97176166723486,0.212168341617164,0.361949853353845,1.18104831733655,2.11069803128579,3.54999742940988,6.61832340680793,7.46190914115315
"31",32,39,2.65237154932767,2.01359284630042,0.240458602867678,0.384702068255613,1.19627914741534,2.16962238544816,3.57254520024842,6.67865615253826,7.79664996622938
"32",33,40,2.60058156501194,2.06122104702942,0.229511119678843,0.37549794121488,1.10198596509451,2.04573170800331,3.54994450460019,6.5467648091148,7.7818357163359
"33",34,41,2.58944747512237,2.01705301791829,0.252423730463338,0.373060634299268,1.12683661106465,2.07286852448401,3.43376128948417,6.65841189017122,7.88229400393138
"34",35,42,2.60670316001757,1.96943829755313,0.25559148402333,0.409659738665902,1.15307433259686,2.12734099831597,3.53820976085977,6.47216937424127,7.64782160109268
"35",36,43,2.56940778552538,1.94218465603317,0.238517739796222,0.381104052331418,1.16339500514551,2.08278209523698,3.5101312909152,6.33783823902801,7.61994030145386
"36",37,44,2.57998898384003,1.99365286774163,0.234582777397233,0.353176911549998,1.13641588720136,2.0667862747398,3.51637079096085,6.57968675988902,7.73573885591659
"37",38,45,2.62151876016753,2.00460692231551,0.229329011131079,0.372845498860459,1.16147083031255,2.129619941358,3.54805244188739,6.54730120239991,7.88523896530086
"38",39,46,2.62620075947613,1.97861874901738,0.230908040053446,0.352977058038639,1.175434416812,2.12974705037055,3.62036902617353,6.53401866232386,7.59838034319994
